x,y,z
0.000,0.000,2.500
0.100,0.000,2.500
0.200,0.000,2.500
0.300,0.000,2.500
0.400,0.000,2.500
0.500,0.000,2.500
0.600,0.000,2.500
0.700,0.000,2.500
0.800,0.000,2.500
0.900,0.000,2.500
1.000,0.000,2.500
1.100,0.000,2.500
1.200,0.000,2.500
1.300,0.000,2.500
1.400,0.000,2.500
1.500,0.000,2.500
1.600,0.000,2.500
1.700,0.000,2.500
1.800,0.000,2.500
1.900,0.000,2.500
2.000,0.000,2.500
2.100,0.000,2.500
2.200,0.000,2.500
2.300,0.000,2.500
2.400,0.000,2.500
2.500,0.000,2.500
2.600,0.000,2.500
2.700,0.000,2.500
2.800,0.000,2.500
2.900,0.000,2.500
3.000,0.000,2.500
3.071,0.071,2.500
3.143,0.143,2.500
3.214,0.214,2.500
3.286,0.286,2.500
3.357,0.357,2.500
3.429,0.429,2.500
3.500,0.500,2.500
3.571,0.571,2.500
3.643,0.643,2.500
3.714,0.714,2.500
3.786,0.786,2.500
3.857,0.857,2.500
3.929,0.929,2.500
4.000,1.000,2.500
4.071,1.071,2.500
4.143,1.143,2.500
4.214,1.214,2.500
4.286,1.286,2.500
4.357,1.357,2.500
4.429,1.429,2.500
4.500,1.500,2.500
4.571,1.571,2.500
4.643,1.643,2.500
4.714,1.714,2.500
4.786,1.786,2.500
4.857,1.857,2.500
4.929,1.929,2.500
5.000,2.000,2.500
5.071,2.071,2.500
5.143,2.143,2.500
5.214,2.214,2.500
5.286,2.286,2.500
5.357,2.357,2.500
5.429,2.429,2.500
5.500,2.500,2.500
5.571,2.571,2.500
5.643,2.643,2.500
5.714,2.714,2.500
5.786,2.786,2.500
5.857,2.857,2.500
5.929,2.929,2.500
6.000,3.000,2.500
6.071,3.071,2.500
6.143,3.143,2.500
6.214,3.214,2.500
6.286,3.286,2.500
6.357,3.357,2.500
6.429,3.429,2.500
6.500,3.500,2.500
6.571,3.571,2.500
6.643,3.643,2.500
6.714,3.714,2.500
6.786,3.786,2.500
6.857,3.857,2.500
6.929,3.929,2.500
7.000,4.000,2.500
7.071,4.071,2.500
7.143,4.143,2.500
7.214,4.214,2.500
7.286,4.286,2.500
7.357,4.357,2.500
7.429,4.429,2.500
7.500,4.500,2.500
7.571,4.571,2.500
7.643,4.643,2.500
7.714,4.714,2.500
7.786,4.786,2.500
7.857,4.857,2.500
7.929,4.929,2.500
8.000,5.000,2.500
8.102,5.000,2.500
8.204,5.000,2.500
8.307,5.000,2.500
8.409,5.000,2.500
8.511,5.000,2.500
8.613,5.000,2.500
8.716,5.000,2.500
8.818,5.000,2.500
8.920,5.000,2.500
9.022,5.000,2.500
9.124,5.000,2.500
9.227,5.000,2.500
9.329,5.000,2.500
9.431,5.000,2.500
9.533,5.000,2.500
9.636,5.000,2.500
9.738,5.000,2.500
9.840,5.000,2.500
9.942,5.000,2.500
10.044,5.000,2.500
10.147,5.000,2.500
10.249,5.000,2.500
10.351,5.000,2.500
10.453,5.000,2.500
10.556,5.000,2.500
10.658,5.000,2.500
10.760,5.000,2.500
10.862,5.000,2.500
10.964,5.000,2.500
11.067,5.000,2.500
11.169,5.000,2.500
11.271,5.000,2.500
11.373,5.000,2.500
11.476,5.000,2.500
11.578,5.000,2.500
11.680,5.000,2.500
11.782,5.000,2.500
11.884,5.000,2.500
11.987,5.000,2.500
12.089,5.000,2.500
12.191,5.000,2.500
12.293,5.000,2.500
12.396,5.000,2.500
12.498,5.000,2.500
12.600,5.000,2.500
